Charity/IPC Name,UENNo,Activities,Registration Date,Financial Size,Sector,Charity Status,Classification,Sector Administrator
THE ARTS FISSION COMPANY LTD,199403833N,Training & education,12/2/1999,"$500,000 and <$1,000,000",Arts and Heritage,Registered with IPC,"Professional, Contemporary & Ethnic Dance","Ministry of Culture, Community and Youth"
"Tent, The",T01SS0154B,Direct Services,22/1/2002,"$500,000 and <$1,000,000",Social and Welfare,Registered,Children/Youth,Ministry of Social and Family Development
TECK GHEE CCC COMMUNITY DEVELOPMENT AND WELFARE FUND,T05CC1885K,"Financial assistance, bursaries & scholarships",01/6/2005,"$500,000 and <$1,000,000",Community,Registered with IPC,Central,People's Association
Tao Bu Keng Temple,S88SS0048A,"Public awareness, promotion & advisory",18/11/1995,"$500,000 and <$1,000,000",Religious,Registered,Taoism,"Ministry of Culture, Community and Youth"
Tai Pei Yuen Temple,S86SS0009L,Supports other Charities,26/5/1986,"$500,000 and <$1,000,000",Religious,Registered,Buddhism,"Ministry of Culture, Community and Youth"
SUSTAINABLE FINANCE INSTITUTE ASIA LIMITED,202017347M,"Public awareness, promotion & advisory",11/5/2021,"$500,000 and <$1,000,000",Others,Registered,General Charitable Purposes,"Ministry of Culture, Community and Youth"
STROKE SUPPORT STATION,201503222G,"Public awareness, promotion & advisory",11/3/2015,"$500,000 and <$1,000,000",Health,Registered with IPC,Diseases/Illnessess Support Group,Ministry of Health
"St. Thomas Orthodox Syrian Cathedral, Singapore",S79SS0001L,"Financial assistance, bursaries & scholarships",22/9/1987,"$500,000 and <$1,000,000",Religious,Registered,Christianity,"Ministry of Culture, Community and Youth"
SRI VEERAMAKALIAMMAN TEMPLE,S88CC0586L,Direct Services,29/7/1988,"$500,000 and <$1,000,000",Religious,Registered,Hinduism,"Ministry of Culture, Community and Youth"
"SPECIAL OLYMPICS ASIA PACIFIC, LTD.",200906631E,Research,26/11/2009,"$500,000 and <$1,000,000",Sports,Registered,Non-NSAs,Sport Singapore
SOSD,T12SS0058C,,23/4/2013,"$500,000 and <$1,000,000",Others,Registered with IPC,Animal Welfare,"Ministry of Culture, Community and Youth"
SOCIAL CREATIVES LTD.,200813216C,Direct Services,05/12/2008,"$500,000 and <$1,000,000",Arts and Heritage,Deregistered,Historical & Cultural Conservation,"Ministry of Culture, Community and Youth"
Smyrna Assembly,S87SS0049C,Direct Services,12/5/1988,"$500,000 and <$1,000,000",Religious,Registered,Christianity,"Ministry of Culture, Community and Youth"
Sion Christian Church,S84SS0048C,Direct Services,07/5/1987,"$500,000 and <$1,000,000",Religious,Registered,Christianity,"Ministry of Culture, Community and Youth"
Sion Christian After-Care Services Centre,T01SS0147G,Direct Services,02/5/2003,"$500,000 and <$1,000,000",Social and Welfare,Registered,Support Groups,Ministry of Social and Family Development
SINGAPORE-CHINA PREMIER SCHOLARSHIP FUND,T05CC1856B,"Financial assistance, bursaries & scholarships",04/2/2005,"$500,000 and <$1,000,000",Education,Registered,Foundations & Trusts,Ministry of Education
"Singapore Thomson Road Baptist Church, The",S68SS0003F,Direct Services,24/4/1987,"$500,000 and <$1,000,000",Religious,Registered,Christianity,"Ministry of Culture, Community and Youth"
SINGAPORE SQUASH RACKETS ASSOCIATION,S70SS0024H,"Public awareness, promotion & advisory",21/2/2011,"$500,000 and <$1,000,000",Sports,Registered with IPC,NSAs,Sport Singapore
SINGAPORE SIKH EDUCATION FOUNDATION,S90SS0119B,Training & education,18/3/1992,"$500,000 and <$1,000,000",Education,Registered,Foundations & Trusts,Ministry of Education
"Singapore Life Saving Society, The",S67SS0031B,"Public awareness, promotion & advisory",07/9/1983,"$500,000 and <$1,000,000",Sports,Registered,NSAs,Sport Singapore
SINGAPORE JEWISH CHARITIES TRUST FUND,S86CC0396B,"Financial assistance, bursaries & scholarships",26/11/1986,"$500,000 and <$1,000,000",Sports,Registered,Others,"Ministry of Culture, Community and Youth"
Singapore Institute of Management Society,S64SS0050A,Training & education,15/5/1985,"$500,000 and <$1,000,000",Education,Deregistered,Local Educational Institutions/Funds,Ministry of Education
SINGAPORE INSTITUTE OF INTERNATIONAL AFFAIRS,S62SS0073L,"Public awareness, promotion & advisory",30/7/1990,"$500,000 and <$1,000,000",Others,Registered,Think Tanks,"Ministry of Culture, Community and Youth"
SINGAPORE GOSPEL HALLS (HOKKIEN SPEAKING ASSEMBLY) LTD.,198702670M,,12/1/1988,"$500,000 and <$1,000,000",Religious,Registered,Christianity,"Ministry of Culture, Community and Youth"
SINGAPORE DRAMA EDUCATORS ASSOCIATION,T02SS0123G,Direct Services,20/2/2020,"$500,000 and <$1,000,000",Sports,Registered with IPC,Others,"Ministry of Culture, Community and Youth"
SINGAPORE CYCLING FEDERATION,S58SS0009A,Direct Services,01/4/2011,"$500,000 and <$1,000,000",Sports,Registered with IPC,NSAs,Sport Singapore
Singapore Che Wein Khor Moral Uplifting Society,S80SS0009C,,30/9/1986,"$500,000 and <$1,000,000",Religious,Registered,Buddhism,"Ministry of Culture, Community and Youth"
Singapore Bible Baptist Church,S71SS0017G,Direct Services,21/9/1985,"$500,000 and <$1,000,000",Religious,Registered,Christianity,"Ministry of Culture, Community and Youth"
Silver Ribbon (Singapore),T05SS0315B,Direct Services,14/6/2006,"$500,000 and <$1,000,000",Sports,Registered with IPC,Others,Ministry of Health
SIKH WELFARE COUNCIL,S98SS0018L,Direct Services,05/11/2009,"$500,000 and <$1,000,000",Social and Welfare,Registered with IPC,Community,Ministry of Social and Family Development
SIAN TECK TNG VEGETARIAN CONVENT,S91CC0783F,,18/1/1991,"$500,000 and <$1,000,000",Religious,Registered,Buddhism,"Ministry of Culture, Community and Youth"
SHREE LAKSHMINARAYAN TEMPLE,S67SS0019D,Direct Services,01/8/1985,"$500,000 and <$1,000,000",Religious,Registered,Hinduism,"Ministry of Culture, Community and Youth"
Shi Niu Dong Temple,T03SS0018G,,01/12/2016,"$500,000 and <$1,000,000",Religious,Registered,Taoism,"Ministry of Culture, Community and Youth"
Sheng Jia Temple Association,T02SS0109F,"Public awareness, promotion & advisory",04/12/2008,"$500,000 and <$1,000,000",Religious,Registered,Taoism,"Ministry of Culture, Community and Youth"
Shelter Baptist Church,S87SS0035C,,29/2/1988,"$500,000 and <$1,000,000",Religious,Registered,Christianity,"Ministry of Culture, Community and Youth"
Shan Fook Tong Temple,S97SS0134A,,20/2/2002,"$500,000 and <$1,000,000",Religious,Registered,Buddhism,"Ministry of Culture, Community and Youth"
Shalom Baptist Church,S85SS0053L,,11/3/1986,"$500,000 and <$1,000,000",Religious,Registered,Christianity,"Ministry of Culture, Community and Youth"
Shalom Baptist Chapel,S77SS0047H,"Public awareness, promotion & advisory",23/4/1985,"$500,000 and <$1,000,000",Religious,Registered,Christianity,"Ministry of Culture, Community and Youth"
Sembawang Baptist Church,S64SS0018D,,11/9/1986,"$500,000 and <$1,000,000",Religious,Registered,Christianity,"Ministry of Culture, Community and Youth"
SCWO-Service Fund,T09CC0010H,Direct Services,01/11/2009,"$500,000 and <$1,000,000",Social and Welfare,Deregistered,Community,Ministry of Social and Family Development
Sattha Puchaniyaram Buddhist Temple,S65SS0029K,"Financial assistance, bursaries & scholarships",17/10/1985,"$500,000 and <$1,000,000",Religious,Registered,Buddhism,"Ministry of Culture, Community and Youth"
SASCO SENIOR CITIZENS' HOME,S89CC0702G,Direct Services,23/11/1989,"$500,000 and <$1,000,000",Social and Welfare,Registered with IPC,Community,Ministry of Social and Family Development
SANCTUARY HOUSE LTD.,200509328Z,,03/3/2006,"$500,000 and <$1,000,000",Social and Welfare,Deregistered,Children/Youth,Ministry of Social and Family Development
SAN JIAO SHENG TANG BUDDHIST ASSOCIATION,S84SS0020C,"Public awareness, promotion & advisory",24/3/1986,"$500,000 and <$1,000,000",Religious,Registered,Buddhism,"Ministry of Culture, Community and Youth"
SALEM WELFARE SERVICES LTD,199508102H,Direct Services,22/6/1996,"$500,000 and <$1,000,000",Health,Registered with IPC,Day Rehabilitation Centre,Ministry of Health
Rivers of Life Church,S96SS0177D,Direct Services,17/10/1997,"$500,000 and <$1,000,000",Religious,Registered,Christianity,"Ministry of Culture, Community and Youth"
RIVERLIFE COMMUNITY SERVICES LIMITED,200711586W,Direct Services,01/9/2007,"$500,000 and <$1,000,000",Social and Welfare,Registered with IPC,Community,Ministry of Social and Family Development
River of Life Community Church,T02SS0206J,,02/9/2005,"$500,000 and <$1,000,000",Religious,Registered,Christianity,"Ministry of Culture, Community and Youth"
RIVER COMMUNITY CHURCH,S99SS0155F,,28/2/2003,"$500,000 and <$1,000,000",Religious,Registered,Christianity,"Ministry of Culture, Community and Youth"
RESOUND COLLECTIVE LIMITED,201631412H,"Public awareness, promotion & advisory",27/3/2018,"$500,000 and <$1,000,000",Arts and Heritage,Registered with IPC,Music & Orchestras,"Ministry of Culture, Community and Youth"
RAW MOVES LTD.,201101201D,"Public awareness, promotion & advisory",30/6/2016,"$500,000 and <$1,000,000",Arts and Heritage,Registered with IPC,"Professional, Contemporary & Ethnic Dance","Ministry of Culture, Community and Youth"
Praise Evangelical Church,S88SS0040L,Direct Services,31/8/1990,"$500,000 and <$1,000,000",Religious,Registered,Christianity,"Ministry of Culture, Community and Youth"
Pilgrim Covenant Church,S99SS0118G,Training & education,19/6/2000,"$500,000 and <$1,000,000",Religious,Registered,Christianity,"Ministry of Culture, Community and Youth"
People's Buddhism Study Society,S82SS0056F,Direct Services,21/2/1986,"$500,000 and <$1,000,000",Religious,Registered,Buddhism,"Ministry of Culture, Community and Youth"
PEARL CARE CENTRE,T04SS0140F,Training & education,07/2/2005,"$500,000 and <$1,000,000",Social and Welfare,Registered,Children/Youth,Ministry of Social and Family Development
Pasir Ris Central CCC Community Development and Welfare Fund,T20CC0005K,"Financial assistance, bursaries & scholarships",22/10/2020,"$500,000 and <$1,000,000",Community,Registered with IPC,North East,People's Association
PASIR PANJANG HILL COMMUNITY SERVICES CENTRE,T02SS0222B,Direct Services,16/7/2003,"$500,000 and <$1,000,000",Social and Welfare,Registered with IPC,Community,Ministry of Social and Family Development
Parish of Christ Church,T08CC4064J,,,"$500,000 and <$1,000,000",Religious,Exempt Charity,Christianity,"Ministry of Culture, Community and Youth"
PAPER MONKEY THEATRE LTD.,200807132R,Research,15/3/2016,"$500,000 and <$1,000,000",Arts and Heritage,Registered with IPC,Theatre & Dramatic Arts,"Ministry of Culture, Community and Youth"
Pao Kwan Foh Tang,S84SS0121A,,31/12/1986,"$500,000 and <$1,000,000",Religious,Registered,Buddhism,"Ministry of Culture, Community and Youth"
O'Joy Care Services,T04SS0047J,Direct Services,07/9/2004,"$500,000 and <$1,000,000",Social and Welfare,Deregistered,Community,Ministry of Social and Family Development
OH OPEN HOUSE LIMITED,201427191H,,08/5/2015,"$500,000 and <$1,000,000",Arts and Heritage,Registered with IPC,Visual Arts,"Ministry of Culture, Community and Youth"
NOAH'S ARK COMPANION ANIMAL RESCUE & EDUCATION SOCIETY,T05SS0171L,"Public awareness, promotion & advisory",09/5/2016,"$500,000 and <$1,000,000",Others,Registered with IPC,Animal Welfare,"Ministry of Culture, Community and Youth"
NGEE ANN TRADITIONAL CHINESE MEDICINE CENTRE LIMITED,200006266G,Direct Services,23/8/2000,"$500,000 and <$1,000,000",,Registered,TCM Clinic,Ministry of Health
NEXUS CARBON FOR DEVELOPMENT LIMITED,200915559E,Direct Services,26/7/2011,"$500,000 and <$1,000,000",Others,Registered,Environment,"Ministry of Culture, Community and Youth"
NEW DESTINY FELLOWSHIP INTERNATIONAL,S98SS0046A,Direct Services,28/12/1998,"$500,000 and <$1,000,000",Religious,Registered,Christianity,"Ministry of Culture, Community and Youth"
"New Church, The",T04SS0127A,"Financial assistance, bursaries & scholarships",18/3/2005,"$500,000 and <$1,000,000",Religious,Registered,Christianity,"Ministry of Culture, Community and Youth"
NEIGHBOURHOOD CHURCH,S86SS0025D,Direct Services,17/5/1994,"$500,000 and <$1,000,000",Religious,Registered,Christianity,"Ministry of Culture, Community and Youth"
NCC RESEARCH FUND,T05CC1897G,Grantmaking,19/8/2005,"$500,000 and <$1,000,000",Health,Registered with IPC,Cluster/Hospital Funds,Ministry of Health
NATIONAL SKIN CENTRE HEALTH FUND,202010012C,"Financial assistance, bursaries & scholarships",20/8/2020,"$500,000 and <$1,000,000",Sports,Registered with IPC,Others,Ministry of Health
National Fire and Emergency Preparedness Council (NFEC),S86SS0064F,"Public awareness, promotion & advisory",30/9/1986,"$500,000 and <$1,000,000",Others,Registered with IPC,General Charitable Purposes,"Ministry of Culture, Community and Youth"
National Council of Churches of Singapore (NCCS),S61SS0118B,,10/5/1985,"$500,000 and <$1,000,000",Religious,Registered,Christianity,"Ministry of Culture, Community and Youth"
N.R. MISTRI DECEASED RE: MISTRI SINGAPORE TRUST,S84CC0125A,,18/12/1984,"$500,000 and <$1,000,000",Social and Welfare,Registered,Community,Ministry of Social and Family Development
N.R. MISTRI DECEASED RE: MISTRI BOMBAY TRUST,S84CC0126H,,18/12/1984,"$500,000 and <$1,000,000",Others,Registered,General Charitable Purposes,"Ministry of Culture, Community and Youth"
Muslim Kidney Action Association (MKAC Association),T04SS0068D,Direct Services,04/5/2005,"$500,000 and <$1,000,000",Health,Registered,Diseases/Illnessess Support Group,Ministry of Health
Mun San Fook Tuck Chee,S83SS0007D,Direct Services,06/7/1995,"$500,000 and <$1,000,000",Religious,Registered,Taoism,"Ministry of Culture, Community and Youth"
MUHAMMADIYAH HEALTH & DAY CARE CENTER,T13CC0002A,Direct Services,30/4/2013,"$500,000 and <$1,000,000",Health,Registered with IPC,Day Rehabilitation Centre,"Ministry of Culture, Community and Youth"
MORIAH ASSEMBLY OF GOD LTD.,198003337E,"Public awareness, promotion & advisory",26/1/1984,"$500,000 and <$1,000,000",Religious,Registered,Christianity,"Ministry of Culture, Community and Youth"
MINDSET CARE LIMITED,201111547C,"Public awareness, promotion & advisory",27/4/2012,"$500,000 and <$1,000,000",Health,Registered,Diseases/Illnessess Support Group,Ministry of Health
MIGRANTWELL SINGAPORE LIMITED,202139383M,"Financial assistance, bursaries & scholarships",15/9/2022,"$500,000 and <$1,000,000",Sports,Registered with IPC,Others; A care compact network for migrant workers’ wellbeing to catalyse innovative and enable holistic care.,Ministry of Health
MERCYLIGHT ANIMAL RESCUE AND SANCTUARY LIMITED,201502278Z,Direct Services,08/5/2020,"$500,000 and <$1,000,000",Others,Registered with IPC,Animal Welfare,"Ministry of Culture, Community and Youth"
"Mennonite Church (Singapore), The",S92SS0030A,,23/7/1997,"$500,000 and <$1,000,000",Religious,Registered,Christianity,"Ministry of Culture, Community and Youth"
Maranatha Christian Assembly,S90SS0017H,Training & education,17/9/1992,"$500,000 and <$1,000,000",Religious,Registered,Christianity,"Ministry of Culture, Community and Youth"
MAR THOMA SYRIAN CHURCH IN SINGAPORE,S86CC0315K,Direct Services,15/4/1986,"$500,000 and <$1,000,000",Religious,Registered,Christianity,"Ministry of Culture, Community and Youth"
Mangala Vihara (Buddhist Temple),S69SS0022C,"Financial assistance, bursaries & scholarships",21/1/1991,"$500,000 and <$1,000,000",Religious,Registered,Buddhism,"Ministry of Culture, Community and Youth"
MAN FUT TONG LIN CHEE CHENG SIA TEMPLE,S87SS0003G,Direct Services,20/12/1990,"$500,000 and <$1,000,000",Religious,Registered,Buddhism,"Ministry of Culture, Community and Youth"
MAMRE OAKS LIMITED,201526053M,Direct Services,17/11/2016,"$500,000 and <$1,000,000",,Registered with IPC,Disability (Adult),Ministry of Social and Family Development
"Mahaprajna Buddhist Society, The",S85SS0099G,Training & education,29/9/1988,"$500,000 and <$1,000,000",Religious,Registered,Buddhism,"Ministry of Culture, Community and Youth"
Mahakaruna Buddhist Society,S89SS0021B,Supports other Charities,16/5/1990,"$500,000 and <$1,000,000",Religious,Registered,Buddhism,"Ministry of Culture, Community and Youth"
Loving Heart Multi-Service Centre,T03SS0014A,Direct Services,26/6/2000,"$500,000 and <$1,000,000",Social and Welfare,Registered with IPC,Community,Ministry of Social and Family Development
LOO GEOK ENG FOUNDATION LIMITED,201025285G,,12/1/2012,"$500,000 and <$1,000,000",Education,Registered,Foundations & Trusts,Ministry of Education
LIVING WORD LIMITED,197400412Z,Direct Services,10/2/1988,"$500,000 and <$1,000,000",Religious,Registered,Christianity,"Ministry of Culture, Community and Youth"
Lions Community Service Foundation (Singapore),T03SS0068K,Grantmaking,02/5/2003,"$500,000 and <$1,000,000",Social and Welfare,Registered,Community,Ministry of Social and Family Development
LIGHT OF WISDOM BUDDHIST SOCIETY,T02SS0156K,Direct Services,24/6/2003,"$500,000 and <$1,000,000",Religious,Registered,Buddhism,"Ministry of Culture, Community and Youth"
LENG HUP SAN CHEE CHEA TEMPLE,S84SS0022F,"Public awareness, promotion & advisory",29/12/1986,"$500,000 and <$1,000,000",Religious,Registered,Taoism,"Ministry of Culture, Community and Youth"
LENG ERN JEE (TEMPLE),S68SS0025H,"Financial assistance, bursaries & scholarships",03/11/1989,"$500,000 and <$1,000,000",Religious,Registered,Buddhism,"Ministry of Culture, Community and Youth"
LEAP PHILANTHROPY LTD.,201228788H,Grantmaking,25/3/2013,"$500,000 and <$1,000,000",Others,Registered,General Charitable Purposes,"Ministry of Culture, Community and Youth"
Kwang Tee Temple,S94SS0023E,,20/1/1997,"$500,000 and <$1,000,000",Religious,Registered,Taoism,"Ministry of Culture, Community and Youth"
"Kuang Chee Tng Buddhist Association, Singapore",S61SS0183B,Direct Services,27/2/1991,"$500,000 and <$1,000,000",Religious,Registered,Buddhism,"Ministry of Culture, Community and Youth"
KRETA AYER PEOPLE'S THEATRE FOUNDATION,197500851C,"Financial assistance, bursaries & scholarships",01/3/2011,"$500,000 and <$1,000,000",Arts and Heritage,Registered with IPC,Historical & Cultural Conservation,"Ministry of Culture, Community and Youth"
Koinonia Inclusion Network,T19SS0269K,"Public awareness, promotion & advisory",06/7/2021,"$500,000 and <$1,000,000",Religious,Registered,Christianity,"Ministry of Culture, Community and Youth"
Kingdom Life Community Church,S95SS0041F,Direct Services,17/7/1995,"$500,000 and <$1,000,000",Religious,Registered,Christianity,"Ministry of Culture, Community and Youth"
KINGDOM COMMUNITY CHURCH LIMITED,201135461H,Direct Services,12/12/2018,"$500,000 and <$1,000,000",Religious,Registered,Christianity,"Ministry of Culture, Community and Youth"
Kim Tian Christian Church Singapore,S66SS0042J,,30/1/1985,"$500,000 and <$1,000,000",Religious,Registered,Christianity,"Ministry of Culture, Community and Youth"
KHOO TECK PUAT FOUNDATION,198200899N,,23/5/1984,"$500,000 and <$1,000,000",Social and Welfare,Registered,Community,Ministry of Social and Family Development
KEWAL RAMANI FOUNDATION,201005158K,,18/8/2010,"$500,000 and <$1,000,000",Others,Deregistered,General Charitable Purposes,"Ministry of Culture, Community and Youth"
Karma Kagyud Buddhist Centre,S81SS0029G,Direct Services,02/5/1989,"$500,000 and <$1,000,000",Religious,Registered,Buddhism,"Ministry of Culture, Community and Youth"
Kadhampa Buddhist Association (Singapore),S95SS0121J,Direct Services,01/2/1997,"$500,000 and <$1,000,000",Religious,Registered,Buddhism,"Ministry of Culture, Community and Youth"
JUNIOR ACHIEVEMENT (SINGAPORE) LTD.,200922582R,,21/12/2010,"$500,000 and <$1,000,000",Sports,Registered,Others,Ministry of Education
Jiu Tiao Qiao Xin Ba Na Du Tan,S97SS0144F,Direct Services,29/8/2003,"$500,000 and <$1,000,000",Religious,Registered,Taoism,"Ministry of Culture, Community and Youth"
Jesus Lives,S86SS0008D,,18/2/1992,"$500,000 and <$1,000,000",Religious,Registered,Christianity,"Ministry of Culture, Community and Youth"
Jaafari Muslim Association (Singapore),S98SS0005G,Training & education,07/1/2015,"$500,000 and <$1,000,000",Religious,Registered,Islam,"Ministry of Culture, Community and Youth"
ITSRAININGRAINCOATS LTD.,202040087Z,"Financial assistance, bursaries & scholarships",15/11/2021,"$500,000 and <$1,000,000",Others,Registered,General Charitable Purposes,Ministry of Social and Family Development
ISHK TOLARAM FOUNDATION LTD.,201627578E,Direct Services,12/9/2017,"$500,000 and <$1,000,000",Social and Welfare,Registered,Children/Youth,"Ministry of Culture, Community and Youth"
ISAAC MANASSEH MEYER TRUST FUND,S85CC0152L,Grantmaking,09/3/1985,"$500,000 and <$1,000,000",Others,Registered,General Charitable Purposes,"Ministry of Culture, Community and Youth"
INTERNATIONAL CHRISTIAN MISSION (SINGAPORE),S90SS0011K,Training & education,17/8/1992,"$500,000 and <$1,000,000",Religious,Registered,Christianity,"Ministry of Culture, Community and Youth"
INSEAD (SINGAPORE) TRUST,T19CC0003E,"Financial assistance, bursaries & scholarships",17/2/2020,"$500,000 and <$1,000,000",Education,Registered with IPC,Local Educational Institutions/Funds,Ministry of Education
INSEAD (SINGAPORE) FUND,T10CC0005G,,10/5/2010,"$500,000 and <$1,000,000",Education,Deregistered,Foreign Educational Institutions/Funds,Ministry of Education
Inmates' Families Support Fund,T08CC2100D,"Financial assistance, bursaries & scholarships",01/7/2008,"$500,000 and <$1,000,000",Social and Welfare,Registered with IPC,Support Groups,Ministry of Social and Family Development
IMPACT CHRISTIAN COMMUNICATIONS LTD,198403830R,,15/5/1985,"$500,000 and <$1,000,000",Religious,Registered,Christianity,"Ministry of Culture, Community and Youth"
HOPE WORLDWIDE (SINGAPORE),S98SS0151F,"Financial assistance, bursaries & scholarships",18/7/2002,"$500,000 and <$1,000,000",Social and Welfare,Registered with IPC,Community,Ministry of Social and Family Development
Hoon San Temple,S91SS0037A,Supports other Charities,16/1/1992,"$500,000 and <$1,000,000",Religious,Registered,Taoism,"Ministry of Culture, Community and Youth"
Heritage Baptist Church,S88SS0052H,,19/12/1990,"$500,000 and <$1,000,000",Religious,Registered,Christianity,"Ministry of Culture, Community and Youth"
Herald Bible-Presbyterian Church,T04SS0078J,Direct Services,02/6/2005,"$500,000 and <$1,000,000",Religious,Registered,Christianity,"Ministry of Culture, Community and Youth"
HEB - ASHRAM HALFWAY HOUSE,T09CC0009L,,01/11/2009,"$500,000 and <$1,000,000",Social and Welfare,Registered with IPC,Support Groups,Ministry of Social and Family Development
HCSA COMMUNITY SERVICES,S97SS0023J,Direct Services,06/2/1998,"$500,000 and <$1,000,000",Social and Welfare,Registered with IPC,Community,Ministry of Social and Family Development
HARBORLIGHT CHURCH LTD.,198403070K,,13/8/1986,"$500,000 and <$1,000,000",Religious,Registered,Christianity,"Ministry of Culture, Community and Youth"
Gurdwara Sahib Yishun,S95SS0142D,Direct Services,27/4/1998,"$500,000 and <$1,000,000",Sports,Registered,Others,"Ministry of Culture, Community and Youth"
Grace Jubilee Centre,S98SS0053G,Direct Services,29/9/2000,"$500,000 and <$1,000,000",Religious,Registered,Christianity,"Ministry of Culture, Community and Youth"
GRACE COVENANT CHURCH LIMITED,201512894G,Training & education,06/11/2019,"$500,000 and <$1,000,000",Religious,Registered,Christianity,"Ministry of Culture, Community and Youth"
Grace Bible-Presbyterian Church,S86SS0055H,Training & education,04/9/1987,"$500,000 and <$1,000,000",Religious,Registered,Christianity,"Ministry of Culture, Community and Youth"
GLOBAL NEUROSCIENCE RESEARCH CENTRE LIMITED,201942554C,Direct Services,31/5/2022,"$500,000 and <$1,000,000",Health,Registered,Health Professional Group,Ministry of Health
GLOBAL INDIAN FOUNDATION LTD.,200301352N,,19/8/2004,"$500,000 and <$1,000,000",Education,Registered,Local Educational Institutions/Funds,Ministry of Education
GLOBAL CULTURAL ALLIANCE LIMITED,201428805R,Direct Services,14/3/2016,"$500,000 and <$1,000,000",Arts and Heritage,Registered,Historical & Cultural Conservation,"Ministry of Culture, Community and Youth"
Global Compact Network Singapore,T05SS0028L,"Public awareness, promotion & advisory",12/12/2013,"$500,000 and <$1,000,000",Others,Registered,General Charitable Purposes,"Ministry of Culture, Community and Youth"
GKY (SINGAPORE) CHURCH,T08SS0168D,Direct Services,26/1/2010,"$500,000 and <$1,000,000",Religious,Registered,Christianity,"Ministry of Culture, Community and Youth"
GAO LIN GONG TEMPLE,S96SS0066A,,28/3/2003,"$500,000 and <$1,000,000",Religious,Registered,Taoism,"Ministry of Culture, Community and Youth"
FREE COMMUNITY CHURCH LTD.,200404897E,Direct Services,23/11/2004,"$500,000 and <$1,000,000",Religious,Registered,Christianity,"Ministry of Culture, Community and Youth"
FOUNDATION OF ROTARY CLUBS (SINGAPORE) LTD,199300813R,Direct Services,26/3/1994,"$500,000 and <$1,000,000",Social and Welfare,Registered with IPC,Community,Ministry of Social and Family Development
Fa Hua Monastery,T05SS0005B,,14/5/1992,"$500,000 and <$1,000,000",Religious,Registered,Buddhism,"Ministry of Culture, Community and Youth"
Evangel Baptist Church,S78SS0019A,Training & education,24/3/1986,"$500,000 and <$1,000,000",Religious,Registered,Christianity,"Ministry of Culture, Community and Youth"
ETONHOUSE COMMUNITY FUND LIMITED,201312095N,"Financial assistance, bursaries & scholarships",24/4/2015,"$500,000 and <$1,000,000",Social and Welfare,Registered with IPC,Children/Youth,Ministry of Social and Family Development
Eternal Life Baptist Church,S67SS0009K,,31/1/1985,"$500,000 and <$1,000,000",Religious,Registered,Christianity,"Ministry of Culture, Community and Youth"
ERA DANCE THEATRE LIMITED,200908466C,"Public awareness, promotion & advisory",12/12/2016,"$500,000 and <$1,000,000",Arts and Heritage,Registered,"Professional, Contemporary & Ethnic Dance","Ministry of Culture, Community and Youth"
Emmaus Evangelical Free Church,T00SS0011J,Grantmaking,03/7/2002,"$500,000 and <$1,000,000",Religious,Registered,Christianity,"Ministry of Culture, Community and Youth"
EMMANUEL TAMIL ANNUAL CONFERENCE (PART OF METHODIST CHURCH IN SINGAPORE),S87CC0514A,Direct Services,09/10/1987,"$500,000 and <$1,000,000",Religious,Registered,Christianity,"Ministry of Culture, Community and Youth"
Emmanuel Evangelical Free Church,S71SS0006F,,09/3/1985,"$500,000 and <$1,000,000",Religious,Registered,Christianity,"Ministry of Culture, Community and Youth"
ECF HOLY WORD LIMITED,196000128N,,20/3/1987,"$500,000 and <$1,000,000",Religious,Registered,Christianity,"Ministry of Culture, Community and Youth"
EAN KENG SI BUDDHIST TEMPLE,200101189M,"Financial assistance, bursaries & scholarships",11/5/2001,"$500,000 and <$1,000,000",Religious,Registered,Buddhism,"Ministry of Culture, Community and Youth"
DR GOH KENG SWEE SCHOLARSHIP FUND,199300505C,Training & education,02/4/1993,"$500,000 and <$1,000,000",Education,Registered,Foundations & Trusts,Ministry of Education
Disabled People's Association,S86SS0002F,"Public awareness, promotion & advisory",30/12/1998,"$500,000 and <$1,000,000",,Registered with IPC,Disability (Adult),Ministry of Social and Family Development
CROCODILE FOUNDATION LTD.,201535138W,Grantmaking,22/1/2016,"$500,000 and <$1,000,000",Others,Registered,General Charitable Purposes,"Ministry of Culture, Community and Youth"
"Covenant Evangelical Reformed Church (CERC), The",S87SS0106H,,18/6/1988,"$500,000 and <$1,000,000",Religious,Registered,Christianity,"Ministry of Culture, Community and Youth"
Coronation Baptist Church,S90SS0036L,Training & education,26/9/1991,"$500,000 and <$1,000,000",Religious,Registered,Christianity,"Ministry of Culture, Community and Youth"
CONTEMPORARY PERFORMANCE AND CO LTD.,202005782R,"Public awareness, promotion & advisory",15/12/2021,"$500,000 and <$1,000,000",Arts and Heritage,Registered,"Professional, Contemporary & Ethnic Dance","Ministry of Culture, Community and Youth"
COMPASSION FUND LTD.,200904371Z,Direct Services,28/8/2009,"$500,000 and <$1,000,000",Social and Welfare,Registered with IPC,Children/Youth,Ministry of Social and Family Development
CITY COLLEGE HOLDINGS LTD.,200517866G,Training & education,06/3/2009,"$500,000 and <$1,000,000",Education,Deregistered,Local Educational Institutions/Funds,Ministry of Education
Church of the Epiphany,T08CC4067H,"Financial assistance, bursaries & scholarships",,"$500,000 and <$1,000,000",Religious,Exempt Charity,Christianity,"Ministry of Culture, Community and Youth"
